tweet_id,time,tweet,retweet_count
1,2025-10-04 14:16:38,UPA shows great development in recent times.,2129
2,2025-11-02 19:00:38,Citizens talk about NDA during poll season.,1510
3,2025-10-14 14:57:38,TMC shows great development in recent times.,1785
4,2025-10-31 19:02:38,People criticize Rahul for violence issues.,1273
5,2025-10-12 08:31:38,BJP shows great stability in recent times.,248
6,2025-11-02 02:32:38,People criticize Rahul for protest issues.,1078
7,2025-10-03 00:15:38,Congress shows great support in recent times.,158
8,2025-10-22 21:42:38,Rahul shows great trust in recent times.,690
9,2025-10-13 04:13:38,People criticize KCR for blame issues.,4713
10,2025-10-15 16:06:38,Rahul shows great leadership in recent times.,1437
11,2025-10-13 10:34:38,Citizens talk about Kejriwal during meeting season.,4599
12,2025-10-14 03:16:38,Citizens talk about Congress during election season.,4304
13,2025-10-28 21:59:38,People criticize TMC for scandal issues.,4248
14,2025-10-25 08:05:38,NDA shows great vision in recent times.,3318
15,2025-10-12 03:50:38,Citizens talk about AAP during campaign season.,4249
16,2025-10-22 23:39:38,People criticize Modi for criticism issues.,4190
17,2025-10-09 21:18:38,People criticize Kejriwal for inflation issues.,4607
18,2025-10-10 11:07:38,People criticize AIADMK for blame issues.,114
19,2025-10-10 02:39:38,Citizens talk about AAP during rally season.,3149
20,2025-10-21 23:45:38,Modi shows great trust in recent times.,2359
21,2025-10-02 12:18:38,People criticize KCR for failure issues.,3137
22,2025-10-20 15:08:38,Modi shows great development in recent times.,4840
23,2025-10-23 20:52:38,Mamata shows great stability in recent times.,3581
24,2025-10-08 15:15:38,Citizens talk about KCR during campaign season.,5
25,2025-10-04 23:31:38,UPA shows great growth in recent times.,1270
26,2025-10-10 11:27:38,Congress shows great support in recent times.,322
27,2025-10-31 07:08:38,People criticize TMC for corruption issues.,2302
28,2025-10-07 15:32:38,People criticize BJP for unemployment issues.,375
29,2025-10-28 22:52:38,People criticize DMK for fraud issues.,3553
30,2025-10-25 08:52:38,People criticize Mamata for corruption issues.,4491
31,2025-10-23 01:01:38,People criticize BJP for protest issues.,2178
