tweet_id,time,tweet,retweet_count
1001,10/30/2025 8:00,The new policy brings hope for youth and growth.,490
1002,10/30/2025 23:05,Digital India initiative has connected rural areas.,265
1003,11/2/2025 5:54,PM's vision inspires entrepreneurs nationwide.,282
1004,10/30/2025 21:11,PM's vision inspires entrepreneurs nationwide.,404
1005,10/31/2025 15:42,Modi's leadership is bringing real change to India.,485
1006,10/31/2025 4:34,Modi's leadership is bringing real change to India.,475
1007,10/28/2025 17:50,Digital India initiative has connected rural areas.,314
1008,10/31/2025 16:56,Government's new scheme helps small businesses.,264
1009,10/31/2025 23:09,Modi's leadership is bringing real change to India.,100
1010,11/2/2025 8:07,Modi's leadership is bringing real change to India.,421
1011,10/29/2025 19:31,Public support rises for infrastructure progress.,79
1012,10/29/2025 7:47,Modi's leadership is bringing real change to India.,400
1013,11/1/2025 18:33,Digital India initiative has connected rural areas.,288
1014,10/28/2025 12:40,Public support rises for infrastructure progress.,478
1015,10/31/2025 11:16,Digital India initiative has connected rural areas.,280
1016,10/29/2025 3:40,Government's new scheme helps small businesses.,100
1017,10/28/2025 23:36,India's economy is moving in the right direction.,500
1018,10/29/2025 11:14,Digital India initiative has connected rural areas.,394
1019,10/29/2025 6:09,Public support rises for infrastructure progress.,261
1020,10/30/2025 8:50,Modi's leadership is bringing real change to India.,400
1021,10/30/2025 3:44,Citizens applaud the government's clean energy plan.,80
1022,10/31/2025 0:37,India's economy is moving in the right direction.,116
1023,11/1/2025 7:01,India's economy is moving in the right direction.,150
1024,10/31/2025 22:04,The new policy brings hope for youth and growth.,440
1025,10/29/2025 7:22,PM's vision inspires entrepreneurs nationwide.,382
1026,11/2/2025 1:05,Public support rises for infrastructure progress.,252
1027,10/31/2025 10:54,Digital India initiative has connected rural areas.,202
1028,10/29/2025 3:24,People appreciate the government's development efforts.,367
1029,11/2/2025 4:37,Government's new scheme helps small businesses.,448
1030,11/1/2025 8:27,Healthcare reforms are benefiting common people.,69
1031,10/28/2025 18:48,Government's new scheme helps small businesses.,329
1032,11/1/2025 18:21,Digital India initiative has connected rural areas.,183
1033,10/28/2025 16:15,Digital India initiative has connected rural areas.,215
1034,11/1/2025 10:11,The new policy brings hope for youth and growth.,41
1035,10/28/2025 12:36,Public support rises for infrastructure progress.,125
1036,11/1/2025 13:31,Digital India initiative has connected rural areas.,12
1037,10/29/2025 5:53,PM's vision inspires entrepreneurs nationwide.,384
1038,10/31/2025 2:54,PM's vision inspires entrepreneurs nationwide.,30
1039,10/30/2025 1:39,Public support rises for infrastructure progress.,488
1040,10/30/2025 21:03,PM's vision inspires entrepreneurs nationwide.,389
1041,11/1/2025 23:20,PM's vision inspires entrepreneurs nationwide.,65
1042,10/28/2025 14:00,The new policy brings hope for youth and growth.,444
1043,11/2/2025 1:48,Government's new scheme helps small businesses.,354
1044,11/1/2025 10:57,Government's new scheme helps small businesses.,359
1045,10/30/2025 19:30,PM's vision inspires entrepreneurs nationwide.,301
1046,10/30/2025 18:50,People appreciate the government's development efforts.,182
1047,10/30/2025 2:35,Government's new scheme helps small businesses.,235
1048,10/28/2025 20:33,Modi's leadership is bringing real change to India.,165
1049,10/29/2025 14:53,Digital India initiative has connected rural areas.,480
1050,10/29/2025 9:04,People appreciate the government's development efforts.,406
1051,10/30/2025 19:03,Digital India initiative has connected rural areas.,494
1052,10/31/2025 21:49,India's economy is moving in the right direction.,86
1053,10/30/2025 6:33,People appreciate the government's development efforts.,240
1054,10/29/2025 17:01,Government's new scheme helps small businesses.,59
1055,10/30/2025 23:31,Healthcare reforms are benefiting common people.,382
1056,11/1/2025 0:03,The new policy brings hope for youth and growth.,493
1057,11/1/2025 10:26,Government's new scheme helps small businesses.,358
1058,10/29/2025 4:45,India's economy is moving in the right direction.,106
1059,10/30/2025 9:52,PM's vision inspires entrepreneurs nationwide.,98
1060,10/29/2025 19:48,Government's new scheme helps small businesses.,71
1061,10/28/2025 15:26,Public support rises for infrastructure progress.,439
1062,10/31/2025 5:18,People appreciate the government's development efforts.,142
1063,10/31/2025 21:32,Public support rises for infrastructure progress.,109
1064,10/31/2025 4:53,India's economy is moving in the right direction.,311
1065,10/31/2025 3:49,India's economy is moving in the right direction.,344
1066,10/30/2025 16:34,Digital India initiative has connected rural areas.,399
1067,10/29/2025 6:03,India's economy is moving in the right direction.,331
1068,10/31/2025 12:09,Public support rises for infrastructure progress.,67
1069,10/29/2025 23:46,Healthcare reforms are benefiting common people.,45
