CustomerID,Age,Gender,AnnualIncome,WebsiteVisits,TimeOnApp,PreviousPurchases,CampaignResponse,PurchaseDecision,PurchaseAmount,LoyaltyPoints,PreferredDevice,Region
1,56,Female,691072,18,13.2,0,Yes,Yes,36090,4948,Mobile,West
2,46,Male,1286880,19,27.8,5,No,No,0,3588,Mobile,East
3,32,Female,704999,19,9.7,7,Yes,No,0,1537,"",North
4,"",Male,531593,5,59.8,2,Yes,No,0,3137,Tablet,East
5,25,Female,807274,18,32.6,7,No,No,0,97,"",West
6,38,Female,351836,10,37.7,0,No,No,0,3215,Tablet,East
7,"",Female,308940,6,8.7,8,No,Yes,19525,4530,Tablet,North
8,36,Female,1203531,1,46.2,8,No,Yes,64478,4732,Mobile,West
9,40,Female,1024926,5,16.5,4,Yes,Yes,48330,3750,Tablet,West
10,28,Male,867521,9,54.4,9,Yes,Yes,42540,3157,"",North
11,28,Male,1079090,12,16.3,3,Yes,No,0,4683,Tablet,North
12,41,Male,585777,"",15.5,5,Yes,No,0,343,"",North
13,"",Female,751638,2,7,6,Yes,Yes,38994,4666,Tablet,North
14,57,Male,749639,17,31,4,No,Yes,36238,610,Tablet,North
15,41,Female,812956,"",36.1,9,Yes,Yes,48684,1727,"",West
16,20,Female,838873,13,8.6,8,Yes,Yes,44398,2290,Tablet,West
17,"",Male,1456445,9,47.7,2,Yes,No,0,1854,Desktop,East
18,19,Male,265953,15,29.9,6,No,No,0,2608,"",East
19,41,Female,700328,15,33.8,9,No,No,0,2079,Mobile,South
20,61,Male,203267,"",29.2,9,No,Yes,13837,2324,Tablet,East
21,47,Female,282745,16,27,4,No,No,0,4627,Mobile,East
22,55,Female,1024945,17,35.8,6,Yes,Yes,54561,1177,Mobile,North
23,19,Female,357164,4,13.5,1,Yes,No,0,1091,Mobile,North
24,38,Female,735626,1,15,3,No,Yes,42648,4979,Mobile,East
25,50,Female,331484,"",52.4,1,No,No,0,2791,Mobile,South
26,29,Male,731831,17,57,6,Yes,No,0,1749,Mobile,North
27,39,Male,1092323,3,25.5,1,Yes,Yes,55521,2675,Desktop,East
28,61,Female,1309268,15,19.9,0,No,Yes,58979,781,Tablet,East
29,42,Female,1468732,15,40.4,8,No,Yes,75435,3048,Desktop,West
30,44,Male,1472568,14,27.5,0,No,No,0,2105,Mobile,South
31,59,Male,716771,14,6.4,7,No,No,0,3867,Mobile,West
32,45,Female,1030857,2,13.6,1,Yes,Yes,48286,4976,Tablet,South
33,33,Male,763044,13,44.4,7,Yes,Yes,35509,4542,Desktop,North
34,32,Female,743176,14,41.2,2,Yes,Yes,40090,2113,Tablet,South
35,64,Male,891095,19,6.5,5,No,No,0,3970,Desktop,East
36,61,Female,1033727,7,17.2,2,No,No,0,1991,Mobile,East
37,20,Male,1234978,3,17.7,6,Yes,No,0,1067,Tablet,South
38,54,Female,1362928,15,42,9,Yes,Yes,74337,1577,Tablet,South
39,24,Male,1069474,14,6.1,8,Yes,Yes,53580,1011,Mobile,South
40,38,Male,285999,11,10.7,1,Yes,Yes,15844,2274,Tablet,West
41,26,Female,1266531,15,49,4,No,Yes,71837,4869,Desktop,South
42,56,Male,270640,13,14.8,5,Yes,No,0,1814,Desktop,North
43,35,Female,396582,18,40.9,3,Yes,No,0,2426,Desktop,West
