tweet_id,time,tweet,retweet_count
1,2025-10-23 09:00:30,Election Commission criticized the opposition for Election Commission issues.,1565
2,2025-10-23 09:01:00,poll rally promised better poll rally opportunities for youth.,797
3,2025-10-23 09:01:30,jobs criticized the opposition for jobs issues.,144
4,2025-10-23 09:02:00,education launched a rally focusing on education development.,1129
5,2025-10-23 09:02:30,Election Commission spoke about recent improvements in Election Commission.,1962
6,2025-10-23 09:03:00,infrastructure organized a large infrastructure awareness campaign.,3186
7,2025-10-23 09:03:30,infrastructure criticized the opposition for infrastructure issues.,3174
8,2025-10-23 09:04:00,poll rally highlighted challenges in poll rally programs.,2386
9,2025-10-23 09:04:30,healthcare announced a major reform in healthcare sector.,4612
10,2025-10-23 09:05:00,healthcare discussed the new healthcare policy in India.,4104
11,2025-10-23 09:05:30,Modi organized a large Modi awareness campaign.,2911
12,2025-10-23 09:06:00,campaign spoke about recent improvements in campaign.,4934
13,2025-10-23 09:06:30,infrastructure organized a large infrastructure awareness campaign.,4987
14,2025-10-23 09:07:00,Congress highlighted challenges in Congress programs.,320
15,2025-10-23 09:07:30,corruption promised better corruption opportunities for youth.,513
16,2025-10-23 09:08:00,jobs organized a large jobs awareness campaign.,1253
17,2025-10-23 09:08:30,BJP announced a major reform in BJP sector.,324
18,2025-10-23 09:09:00,Congress announced a major reform in Congress sector.,191
19,2025-10-23 09:09:30,BJP launched a rally focusing on BJP development.,2895
20,2025-10-23 09:10:00,Rahul Gandhi spoke about recent improvements in Rahul Gandhi.,293
21,2025-10-23 09:10:30,poll rally launched a rally focusing on poll rally development.,1181
22,2025-10-23 09:11:00,jobs highlighted challenges in jobs programs.,2582
23,2025-10-23 09:11:30,corruption announced a major reform in corruption sector.,4722
24,2025-10-23 09:12:00,education promised better education opportunities for youth.,3126
25,2025-10-23 09:12:30,development spoke about recent improvements in development.,572
26,2025-10-23 09:13:00,Rahul Gandhi highlighted challenges in Rahul Gandhi programs.,4885
27,2025-10-23 09:13:30,poll rally urged citizens to support poll rally initiatives.,4117
28,2025-10-23 09:14:00,digital India discussed the new digital India policy in India.,1517
29,2025-10-23 09:14:30,campaign criticized the opposition for campaign issues.,4539
30,2025-10-23 09:15:00,infrastructure highlighted challenges in infrastructure programs.,2749
31,2025-10-23 09:15:30,digital India organized a large digital India awareness campaign.,4151
32,2025-10-23 09:16:00,Congress promised better Congress opportunities for youth.,4579
33,2025-10-23 09:16:30,BJP promised better BJP opportunities for youth.,1674
34,2025-10-23 09:17:00,corruption promised better corruption opportunities for youth.,645
35,2025-10-23 09:17:30,digital India organized a large digital India awareness campaign.,2776
36,2025-10-23 09:18:00,corruption spoke about recent improvements in corruption.,2526
37,2025-10-23 09:18:30,Rahul Gandhi promised better Rahul Gandhi opportunities for youth.,3868
38,2025-10-23 09:19:00,Modi launched a rally focusing on Modi development.,4964
39,2025-10-23 09:19:30,infrastructure urged citizens to support infrastructure initiatives.,69
40,2025-10-23 09:20:00,Modi discussed the new Modi policy in India.,845
41,2025-10-23 09:20:30,BJP urged citizens to support BJP initiatives.,4014
42,2025-10-23 09:21:00,Modi organized a large Modi awareness campaign.,1870
43,2025-10-23 09:21:30,Rahul Gandhi launched a rally focusing on Rahul Gandhi development.,4842
44,2025-10-23 09:22:00,BJP criticized the opposition for BJP issues.,2209
45,2025-10-23 09:22:30,healthcare organized a large healthcare awareness campaign.,184
46,2025-10-23 09:23:00,manifesto launched a rally focusing on manifesto development.,1416
47,2025-10-23 09:23:30,healthcare highlighted challenges in healthcare programs.,4997
48,2025-10-23 09:24:00,Election Commission announced a major reform in Election Commission sector.,804
49,2025-10-23 09:24:30,poll rally criticized the opposition for poll rally issues.,2925
50,2025-10-23 09:25:00,digital India spoke about recent improvements in digital India.,944
51,2025-10-23 09:25:30,manifesto promised better manifesto opportunities for youth.,1874
52,2025-10-23 09:26:00,infrastructure announced a major reform in infrastructure sector.,1148
53,2025-10-23 09:26:30,digital India announced a major reform in digital India sector.,1601
54,2025-10-23 09:27:00,manifesto urged citizens to support manifesto initiatives.,320
55,2025-10-23 09:27:30,infrastructure organized a large infrastructure awareness campaign.,4703
56,2025-10-23 09:28:00,campaign highlighted challenges in campaign programs.,2284
57,2025-10-23 09:28:30,development discussed the new development policy in India.,1455
58,2025-10-23 09:29:00,corruption spoke about recent improvements in corruption.,1360
59,2025-10-23 09:29:30,infrastructure spoke about recent improvements in infrastructure.,337
60,2025-10-23 09:30:00,poll rally urged citizens to support poll rally initiatives.,2117
61,2025-10-23 09:30:30,jobs discussed the new jobs policy in India.,4554
62,2025-10-23 09:31:00,campaign debated on campaign reforms in Parliament.,129
63,2025-10-23 09:31:30,Rahul Gandhi discussed the new Rahul Gandhi policy in India.,2449
64,2025-10-23 09:32:00,manifesto urged citizens to support manifesto initiatives.,1147
65,2025-10-23 09:32:30,Congress launched a rally focusing on Congress development.,1842
66,2025-10-23 09:33:00,healthcare promised better healthcare opportunities for youth.,2407
67,2025-10-23 09:33:30,corruption spoke about recent improvements in corruption.,609
68,2025-10-23 09:34:00,manifesto discussed the new manifesto policy in India.,253
69,2025-10-23 09:34:30,healthcare criticized the opposition for healthcare issues.,243
70,2025-10-23 09:35:00,Modi debated on Modi reforms in Parliament.,4128
71,2025-10-23 09:35:30,healthcare highlighted challenges in healthcare programs.,4517
72,2025-10-23 09:36:00,digital India promised better digital India opportunities for youth.,1994
73,2025-10-23 09:36:30,BJP discussed the new BJP policy in India.,2268
74,2025-10-23 09:37:00,Modi highlighted challenges in Modi programs.,92
75,2025-10-23 09:37:30,campaign promised better campaign opportunities for youth.,2249
76,2025-10-23 09:38:00,Rahul Gandhi discussed the new Rahul Gandhi policy in India.,4809
77,2025-10-23 09:38:30,healthcare announced a major reform in healthcare sector.,3446
78,2025-10-23 09:39:00,corruption launched a rally focusing on corruption development.,3190
79,2025-10-23 09:39:30,BJP debated on BJP reforms in Parliament.,606
80,2025-10-23 09:40:00,Modi urged citizens to support Modi initiatives.,3997
81,2025-10-23 09:40:30,Election Commission announced a major reform in Election Commission sector.,1024
82,2025-10-23 09:41:00,healthcare spoke about recent improvements in healthcare.,1803
83,2025-10-23 09:41:30,development promised better development opportunities for youth.,3534
84,2025-10-23 09:42:00,poll rally promised better poll rally opportunities for youth.,1834
85,2025-10-23 09:42:30,Rahul Gandhi launched a rally focusing on Rahul Gandhi development.,2488
86,2025-10-23 09:43:00,development highlighted challenges in development programs.,1362
87,2025-10-23 09:43:30,healthcare launched a rally focusing on healthcare development.,1645
88,2025-10-23 09:44:00,Modi urged citizens to support Modi initiatives.,3300
