tweet_id,time,tweet,retweet_count,sentiment,buzz_score
1,2025-10-23 09:00:30,Election Commission criticized the opposition for Election Commission issues.,1565,neutral,1565.0
2,2025-10-23 09:01:00,poll rally promised better poll rally opportunities for youth.,797,positive,1195.5
3,2025-10-23 09:01:30,jobs criticized the opposition for jobs issues.,144,neutral,144.0
4,2025-10-23 09:02:00,education launched a rally focusing on education development.,1129,neutral,1129.0
5,2025-10-23 09:02:30,Election Commission spoke about recent improvements in Election Commission.,1962,neutral,1962.0
6,2025-10-23 09:03:00,infrastructure organized a large infrastructure awareness campaign.,3186,positive,4779.0
7,2025-10-23 09:03:30,infrastructure criticized the opposition for infrastructure issues.,3174,neutral,3174.0
8,2025-10-23 09:04:00,poll rally highlighted challenges in poll rally programs.,2386,neutral,2386.0
9,2025-10-23 09:04:30,healthcare announced a major reform in healthcare sector.,4612,neutral,4612.0
10,2025-10-23 09:05:00,healthcare discussed the new healthcare policy in India.,4104,positive,6156.0
11,2025-10-23 09:05:30,Modi organized a large Modi awareness campaign.,2911,positive,4366.5
12,2025-10-23 09:06:00,campaign spoke about recent improvements in campaign.,4934,neutral,4934.0
13,2025-10-23 09:06:30,infrastructure organized a large infrastructure awareness campaign.,4987,positive,7480.5
14,2025-10-23 09:07:00,Congress highlighted challenges in Congress programs.,320,neutral,320.0
15,2025-10-23 09:07:30,corruption promised better corruption opportunities for youth.,513,positive,769.5
16,2025-10-23 09:08:00,jobs organized a large jobs awareness campaign.,1253,positive,1879.5
17,2025-10-23 09:08:30,BJP announced a major reform in BJP sector.,324,neutral,324.0
18,2025-10-23 09:09:00,Congress announced a major reform in Congress sector.,191,neutral,191.0
19,2025-10-23 09:09:30,BJP launched a rally focusing on BJP development.,2895,neutral,2895.0
20,2025-10-23 09:10:00,Rahul Gandhi spoke about recent improvements in Rahul Gandhi.,293,neutral,293.0
21,2025-10-23 09:10:30,poll rally launched a rally focusing on poll rally development.,1181,neutral,1181.0
22,2025-10-23 09:11:00,jobs highlighted challenges in jobs programs.,2582,neutral,2582.0
23,2025-10-23 09:11:30,corruption announced a major reform in corruption sector.,4722,neutral,4722.0
24,2025-10-23 09:12:00,education promised better education opportunities for youth.,3126,positive,4689.0
25,2025-10-23 09:12:30,development spoke about recent improvements in development.,572,neutral,572.0
26,2025-10-23 09:13:00,Rahul Gandhi highlighted challenges in Rahul Gandhi programs.,4885,neutral,4885.0
27,2025-10-23 09:13:30,poll rally urged citizens to support poll rally initiatives.,4117,neutral,4117.0
28,2025-10-23 09:14:00,digital India discussed the new digital India policy in India.,1517,neutral,1517.0
29,2025-10-23 09:14:30,campaign criticized the opposition for campaign issues.,4539,neutral,4539.0
30,2025-10-23 09:15:00,infrastructure highlighted challenges in infrastructure programs.,2749,neutral,2749.0
31,2025-10-23 09:15:30,digital India organized a large digital India awareness campaign.,4151,neutral,4151.0
32,2025-10-23 09:16:00,Congress promised better Congress opportunities for youth.,4579,positive,6868.5
33,2025-10-23 09:16:30,BJP promised better BJP opportunities for youth.,1674,positive,2511.0
34,2025-10-23 09:17:00,corruption promised better corruption opportunities for youth.,645,positive,967.5
35,2025-10-23 09:17:30,digital India organized a large digital India awareness campaign.,2776,neutral,2776.0
36,2025-10-23 09:18:00,corruption spoke about recent improvements in corruption.,2526,neutral,2526.0
37,2025-10-23 09:18:30,Rahul Gandhi promised better Rahul Gandhi opportunities for youth.,3868,positive,5802.0
38,2025-10-23 09:19:00,Modi launched a rally focusing on Modi development.,4964,neutral,4964.0
39,2025-10-23 09:19:30,infrastructure urged citizens to support infrastructure initiatives.,69,neutral,69.0
40,2025-10-23 09:20:00,Modi discussed the new Modi policy in India.,845,positive,1267.5
41,2025-10-23 09:20:30,BJP urged citizens to support BJP initiatives.,4014,neutral,4014.0
42,2025-10-23 09:21:00,Modi organized a large Modi awareness campaign.,1870,positive,2805.0
43,2025-10-23 09:21:30,Rahul Gandhi launched a rally focusing on Rahul Gandhi development.,4842,neutral,4842.0
44,2025-10-23 09:22:00,BJP criticized the opposition for BJP issues.,2209,neutral,2209.0
45,2025-10-23 09:22:30,healthcare organized a large healthcare awareness campaign.,184,positive,276.0
46,2025-10-23 09:23:00,manifesto launched a rally focusing on manifesto development.,1416,neutral,1416.0
47,2025-10-23 09:23:30,healthcare highlighted challenges in healthcare programs.,4997,neutral,4997.0
48,2025-10-23 09:24:00,Election Commission announced a major reform in Election Commission sector.,804,neutral,804.0
49,2025-10-23 09:24:30,poll rally criticized the opposition for poll rally issues.,2925,neutral,2925.0
50,2025-10-23 09:25:00,digital India spoke about recent improvements in digital India.,944,neutral,944.0
51,2025-10-23 09:25:30,manifesto promised better manifesto opportunities for youth.,1874,positive,2811.0
52,2025-10-23 09:26:00,infrastructure announced a major reform in infrastructure sector.,1148,neutral,1148.0
53,2025-10-23 09:26:30,digital India announced a major reform in digital India sector.,1601,neutral,1601.0
54,2025-10-23 09:27:00,manifesto urged citizens to support manifesto initiatives.,320,neutral,320.0
55,2025-10-23 09:27:30,infrastructure organized a large infrastructure awareness campaign.,4703,positive,7054.5
56,2025-10-23 09:28:00,campaign highlighted challenges in campaign programs.,2284,neutral,2284.0
57,2025-10-23 09:28:30,development discussed the new development policy in India.,1455,positive,2182.5
58,2025-10-23 09:29:00,corruption spoke about recent improvements in corruption.,1360,neutral,1360.0
59,2025-10-23 09:29:30,infrastructure spoke about recent improvements in infrastructure.,337,neutral,337.0
60,2025-10-23 09:30:00,poll rally urged citizens to support poll rally initiatives.,2117,neutral,2117.0
61,2025-10-23 09:30:30,jobs discussed the new jobs policy in India.,4554,positive,6831.0
62,2025-10-23 09:31:00,campaign debated on campaign reforms in Parliament.,129,neutral,129.0
63,2025-10-23 09:31:30,Rahul Gandhi discussed the new Rahul Gandhi policy in India.,2449,positive,3673.5
64,2025-10-23 09:32:00,manifesto urged citizens to support manifesto initiatives.,1147,neutral,1147.0
65,2025-10-23 09:32:30,Congress launched a rally focusing on Congress development.,1842,neutral,1842.0
66,2025-10-23 09:33:00,healthcare promised better healthcare opportunities for youth.,2407,positive,3610.5
67,2025-10-23 09:33:30,corruption spoke about recent improvements in corruption.,609,neutral,609.0
68,2025-10-23 09:34:00,manifesto discussed the new manifesto policy in India.,253,positive,379.5
69,2025-10-23 09:34:30,healthcare criticized the opposition for healthcare issues.,243,neutral,243.0
70,2025-10-23 09:35:00,Modi debated on Modi reforms in Parliament.,4128,neutral,4128.0
71,2025-10-23 09:35:30,healthcare highlighted challenges in healthcare programs.,4517,neutral,4517.0
