tweet_id,time,tweet,retweet_count,sentiment,buzz_score
1001,2025-10-30 08:00:00,The new policy brings hope for youth and growth.,490,positive,735.0
1002,2025-10-30 23:05:00,Digital India initiative has connected rural areas.,265,neutral,265.0
1003,2025-11-02 05:54:00,PM's vision inspires entrepreneurs nationwide.,282,neutral,282.0
1004,2025-10-30 21:11:00,PM's vision inspires entrepreneurs nationwide.,404,neutral,404.0
1005,2025-10-31 15:42:00,Modi's leadership is bringing real change to India.,485,positive,727.5
1006,2025-10-31 04:34:00,Modi's leadership is bringing real change to India.,475,positive,712.5
1007,2025-10-28 17:50:00,Digital India initiative has connected rural areas.,314,neutral,314.0
1008,2025-10-31 16:56:00,Government's new scheme helps small businesses.,264,neutral,264.0
1009,2025-10-31 23:09:00,Modi's leadership is bringing real change to India.,100,positive,150.0
1010,2025-11-02 08:07:00,Modi's leadership is bringing real change to India.,421,positive,631.5
1011,2025-10-29 19:31:00,Public support rises for infrastructure progress.,79,neutral,79.0
1012,2025-10-29 07:47:00,Modi's leadership is bringing real change to India.,400,positive,600.0
1013,2025-11-01 18:33:00,Digital India initiative has connected rural areas.,288,neutral,288.0
1014,2025-10-28 12:40:00,Public support rises for infrastructure progress.,478,neutral,478.0
1015,2025-10-31 11:16:00,Digital India initiative has connected rural areas.,280,neutral,280.0
1016,2025-10-29 03:40:00,Government's new scheme helps small businesses.,100,neutral,100.0
1017,2025-10-28 23:36:00,India's economy is moving in the right direction.,500,positive,750.0
1018,2025-10-29 11:14:00,Digital India initiative has connected rural areas.,394,neutral,394.0
1019,2025-10-29 06:09:00,Public support rises for infrastructure progress.,261,neutral,261.0
1020,2025-10-30 08:50:00,Modi's leadership is bringing real change to India.,400,positive,600.0
1021,2025-10-30 03:44:00,Citizens applaud the government's clean energy plan.,80,positive,120.0
1022,2025-10-31 00:37:00,India's economy is moving in the right direction.,116,positive,174.0
1023,2025-11-01 07:01:00,India's economy is moving in the right direction.,150,positive,225.0
1024,2025-10-31 22:04:00,The new policy brings hope for youth and growth.,440,positive,660.0
1025,2025-10-29 07:22:00,PM's vision inspires entrepreneurs nationwide.,382,neutral,382.0
1026,2025-11-02 01:05:00,Public support rises for infrastructure progress.,252,neutral,252.0
1027,2025-10-31 10:54:00,Digital India initiative has connected rural areas.,202,neutral,202.0
1028,2025-10-29 03:24:00,People appreciate the government's development efforts.,367,neutral,367.0
1029,2025-11-02 04:37:00,Government's new scheme helps small businesses.,448,neutral,448.0
1030,2025-11-01 08:27:00,Healthcare reforms are benefiting common people.,69,negative,34.5
1031,2025-10-28 18:48:00,Government's new scheme helps small businesses.,329,neutral,329.0
1032,2025-11-01 18:21:00,Digital India initiative has connected rural areas.,183,neutral,183.0
1033,2025-10-28 16:15:00,Digital India initiative has connected rural areas.,215,neutral,215.0
1034,2025-11-01 10:11:00,The new policy brings hope for youth and growth.,41,positive,61.5
1035,2025-10-28 12:36:00,Public support rises for infrastructure progress.,125,neutral,125.0
1036,2025-11-01 13:31:00,Digital India initiative has connected rural areas.,12,neutral,12.0
1037,2025-10-29 05:53:00,PM's vision inspires entrepreneurs nationwide.,384,neutral,384.0
1038,2025-10-31 02:54:00,PM's vision inspires entrepreneurs nationwide.,30,neutral,30.0
1039,2025-10-30 01:39:00,Public support rises for infrastructure progress.,488,neutral,488.0
1040,2025-10-30 21:03:00,PM's vision inspires entrepreneurs nationwide.,389,neutral,389.0
1041,2025-11-01 23:20:00,PM's vision inspires entrepreneurs nationwide.,65,neutral,65.0
1042,2025-10-28 14:00:00,The new policy brings hope for youth and growth.,444,positive,666.0
1043,2025-11-02 01:48:00,Government's new scheme helps small businesses.,354,neutral,354.0
1044,2025-11-01 10:57:00,Government's new scheme helps small businesses.,359,neutral,359.0
1045,2025-10-30 19:30:00,PM's vision inspires entrepreneurs nationwide.,301,neutral,301.0
1046,2025-10-30 18:50:00,People appreciate the government's development efforts.,182,neutral,182.0
1047,2025-10-30 02:35:00,Government's new scheme helps small businesses.,235,neutral,235.0
1048,2025-10-28 20:33:00,Modi's leadership is bringing real change to India.,165,positive,247.5
1049,2025-10-29 14:53:00,Digital India initiative has connected rural areas.,480,neutral,480.0
1050,2025-10-29 09:04:00,People appreciate the government's development efforts.,406,neutral,406.0
1051,2025-10-30 19:03:00,Digital India initiative has connected rural areas.,494,neutral,494.0
1052,2025-10-31 21:49:00,India's economy is moving in the right direction.,86,positive,129.0
1053,2025-10-30 06:33:00,People appreciate the government's development efforts.,240,neutral,240.0
1054,2025-10-29 17:01:00,Government's new scheme helps small businesses.,59,neutral,59.0
1055,2025-10-30 23:31:00,Healthcare reforms are benefiting common people.,382,negative,191.0
1056,2025-11-01 00:03:00,The new policy brings hope for youth and growth.,493,positive,739.5
1057,2025-11-01 10:26:00,Government's new scheme helps small businesses.,358,neutral,358.0
1058,2025-10-29 04:45:00,India's economy is moving in the right direction.,106,positive,159.0
1059,2025-10-30 09:52:00,PM's vision inspires entrepreneurs nationwide.,98,neutral,98.0
1060,2025-10-29 19:48:00,Government's new scheme helps small businesses.,71,neutral,71.0
1061,2025-10-28 15:26:00,Public support rises for infrastructure progress.,439,neutral,439.0
1062,2025-10-31 05:18:00,People appreciate the government's development efforts.,142,neutral,142.0
1063,2025-10-31 21:32:00,Public support rises for infrastructure progress.,109,neutral,109.0
1064,2025-10-31 04:53:00,India's economy is moving in the right direction.,311,positive,466.5
1065,2025-10-31 03:49:00,India's economy is moving in the right direction.,344,positive,516.0
