tweet_id,time,tweet,retweet_count
1,2025-10-28 09:15:00,"Modi's leadership is transforming India with vision and hope.",210
2,2025-10-28 09:30:00,"People are happy with the government's focus on rural growth.",178
3,2025-10-28 09:45:00,"Citizens applaud the clean energy reforms across India.",155
4,2025-10-28 10:00:00,"The budget shows positive signs for economic development.",132
5,2025-10-28 10:15:00,"Public trusts the administration for maintaining stability.",110
6,2025-10-28 10:30:00,"The new education policy gives students great hope for the future.",95
7,2025-10-28 10:45:00,"People appreciate Modi's inspiring vision for digital India.",85
8,2025-10-28 11:00:00,"Healthcare reforms are bringing smiles to many families.",74
9,2025-10-28 11:15:00,"Citizens celebrate the success of India's vaccination campaign.",68
10,2025-10-28 11:30:00,"Government’s strong decisions are leading India toward success.",59
11,2025-10-28 11:45:00,"Opposition criticizes BJP over rising unemployment rates.",240
12,2025-10-28 12:00:00,"Fuel price hike causes outrage among middle-class citizens.",223
13,2025-10-28 12:15:00,"People protest against poor handling of economic slowdown.",210
14,2025-10-28 12:30:00,"Critics blame government for ignoring corruption scandals.",198
15,2025-10-28 12:45:00,"Public anger grows after delay in welfare distribution.",185
16,2025-10-28 13:00:00,"Opposition slams BJP for lack of transparency in policies.",170
17,2025-10-28 13:15:00,"Citizens accuse government of misusing taxpayer money.",158
18,2025-10-28 13:30:00,"Critics say Modi's silence on key issues is disappointing.",147
19,2025-10-28 13:45:00,"Public protests continue against controversial land law.",138
20,2025-10-28 14:00:00,"Opposition demands resignation over data breach scandal.",125
21,2025-10-28 14:15:00,"PM Modi delivers speech at global climate summit.",94
22,2025-10-28 14:30:00,"Congress leader met industrialists to discuss job creation.",88
23,2025-10-28 14:45:00,"The Election Commission announced new polling guidelines.",80
24,2025-10-28 15:00:00,"Finance Minister presented the annual economic report.",75
25,2025-10-28 15:15:00,"BJP held a meeting to review the upcoming election plans.",71
26,2025-10-28 15:30:00,"Citizens gathered for an awareness program in Delhi.",67
27,2025-10-28 15:45:00,"Rahul Gandhi interacted with students in Hyderabad.",62
28,2025-10-28 16:00:00,"The new tax policy draft was submitted to the Parliament.",58
29,2025-10-28 16:15:00,"PM Modi attended the inauguration of a new bridge.",54
30,2025-10-28 16:30:00,"Media discussed the new electoral reforms in detail.",52
31,2025-10-28 16:45:00,"The new solar energy program is a huge success.",175
32,2025-10-28 17:00:00,"Public praises government’s effective disaster management.",165
33,2025-10-28 17:15:00,"Farmers thank the administration for fair crop prices.",155
34,2025-10-28 17:30:00,"The cleanliness campaign received global appreciation.",140
35,2025-10-28 17:45:00,"Citizens show overwhelming support for the digital revolution.",128
36,2025-10-28 18:00:00,"Government’s infrastructure growth drives national pride.",118
37,2025-10-28 18:15:00,"The Prime Minister’s leadership unites the nation.",107
38,2025-10-28 18:30:00,"Positive response to India’s foreign policy achievements.",99
39,2025-10-28 18:45:00,"Public applauds government’s push for women empowerment.",88
40,2025-10-28 19:00:00,"India’s economic resilience shows strength and confidence.",77
41,2025-10-28 19:15:00,"Opposition blames BJP for poor handling of inflation.",233
42,2025-10-28 19:30:00,"Citizens are unhappy with fuel price hike.",219
43,2025-10-28 19:45:00,"Protesters criticize government over unemployment crisis.",206
44,2025-10-28 20:00:00,"People frustrated with corruption in recent projects.",190
45,2025-10-28 20:15:00,"Opposition questions government’s lack of accountability.",175
46,2025-10-28 20:30:00,"Citizens demand better transparency in welfare schemes.",165
47,2025-10-28 20:45:00,"Public outrage over delay in compensation to flood victims.",158
48,2025-10-28 21:00:00,"Critics say BJP policies failed to help the poor.",150
49,2025-10-28 21:15:00,"Protesters march demanding action on rising prices.",139
50,2025-10-28 21:30:00,"Opposition unites to challenge ruling party’s policies.",130
